Reactants,,,,,Products,,,,,Coefficient A,Coefficent B,Coefficent C,Coefficient D,,Coefficent F,Coefficent G,Coefficent H,Coefficient I
? NaCrO2​,? Br2​,? NaOH,, →, ? Na2​CrO4​,? NaBr,? H2​O,,,2,3,8,, →,2,6,4,
? Cl2​,? NaOH,,, →, ? NaCl,? NaOCl,? H2​O,,,1,2,,, →,1,1,1,
? KMnO4​,? Na2​SO3​,? H2​O,, →, ? MnO2​,? Na2​SO4​,? KOH,,,2,3,1,, →,2,3,2,
? I2​,? HNO3​,,, →, ? HIO3​,? NO2​,? H2​O,,,1,10,,, →,2,10,4,
? Pb,? HNO3​,,, →, ? Pb(NO3​)2​,? NO,? H2​O,,,3,8,,, →,3,2,4,
? S,? HNO3​,,, →, ? H2​SO4​,? NO2​,? H2​O,,,1,6,,, →,1,6,2,
? Na2​SnO2​,? HNO3​,? H2​O,, →, ? Na2​SnO3​,? NO,? H2​O,,,3,2,2,, →,3,2,3,
? Na2​S2​O3​,? NaIO4​,? H2​O,, →, ? Na2​SO4​,? H2​SO4​,? NaIO3​,,,1,2,1,, →,1,1,2,
? Na2​S2​O3​,? Br2​,,, →, ? Na2​S4​O6​,? NaBr,,,,2,1,,, →,1,2,,
? Na2​S2​O3​,? H2​O2​,,, →, ? Na2​SO4​,? H2​SO4​,? H2​O,,,1,4,,, →,1,1,3,
? Na2​S2​O3​,? I2​,,, →, ? Na2​S4​O6​,? NaI,,,,2,1,,, →,1,2,,
? Na2​S2​O3​,? Cl2​,? H2​O,, →, ? NaHSO4​,? HCl,,,,1,4,5,, →,2,8,,
? Na2​S2​O3​,? AgNO3​,,, →, ? Ag2​S2​O3​,? NaNO3​,,,,1,2,,, →,1,2,,
? Na2​S2​O3​,? Fe(NO3​)3​,,, →, ? Na2​S4​O6​,? Fe(NO3​)2​,? NaNO3​,,,2,2,,, →,1,2,2,
? Na2​S2​O3​,? KMnO4​,? H2​O*,, →, ? Na2​SO4​,? MnO2​,? KOH,,,1,2,1,, →,1,2,2,
? NaI,? Cl2​,? H2​O,, →, ? NaIO3​,? NaCl,? HCl,,,1,1,1,, →,1,1,1,
? Na2​SO3​,? KMnO4​,? H2​O,, →, ? Na2​SO4​,? MnO2​,? KOH,,,1,1,1,, →,1,1,1,
? P4​,? NaNO3​,? H2​O,, →, ? H3​PO4​,? NO,? NaNO3​*,,,1,1,1,, →,1,1,1,
? Na2​S2​O3​,? Cl2​,? H2​O,, →, ? NaHSO4​,? HCl,,,,1,1,1,, →,1,1,,
? Al,? NaNO3​,? NaOH,? H2​O, →, ? NaAl(OH)4​,? NH3​,,,,1,1,1,, →,1,1,,
? Na2​S,? HNO3​,,, →, ? NaNO3​,? S,? NO,? H2​O,,3,8,,, →,6,3,2,4
? Na2​SO3​,? HNO3​,,, →, ? Na2​SO4​,? NO2​,? H2​O,,,1,2,,, →,1,2,1,
? Fe(NO3​)2​,? HNO3​,,, →, ? Fe(NO3​)3​,? NO,? H2​O,,,3,4,,, →,3,1,2,
? Cu,? HNO3​,,, →, ? Cu(NO3​)2​,? NO2​,? H2​O,,,1,4,,, →,1,2,2,
? Zn,? HNO3​,,, →, ? Zn(NO3​)2​,? NH4​NO3​,? H2​O,,,4,10,,, →,4,1,3,
? CH4​,? O2​,,, →, ? CO2​,? H2​O,,,,1,2,,, →,1,2,,
? C2​H6​,? O2​,,, →, ? CO2​,? H2​O,,,,2,7,,, →,4,6,,
? C3​H8​,? O2​,,, →, ? CO2​,? H2​O,,,,1,5,,, →,3,4,,
? C4​H10​,? 3O2​,,, →, ? CO2​,? 0H2​O,,,,2,1,,, →,8,1,,
? C5​H12​,? O2​,,, →, ? CO2​,? H2​O,,,,1,8,,, →,5,6,,
? C8​H18​,? 5O2​,,, →, ? 6CO2​,? 8H2​O,,,,2,2,,, →,1,1,,
