Reactants,,,,,Products,,,,,Coefficient A,Coefficent B,Coefficent C,Coefficient D,,Coefficent F,Coefficent G,Coefficent H,Coefficient I,Average Coeficient,Minimum,Count,Difficulty (Average+Minimum+Count)
? NaCrO2​,? Br2​,? NaOH,, →, ? Na2​CrO4​,? NaBr,? H2​O,,,2,3,8,,,2,6,4,,4.167,2,6,12.167
? Cl2​,? NaOH,,, →, ? NaCl,? NaOCl,? H2​O,,,1,2,,, →,1,1,1,,1.200,1,5,7.200
? KMnO4​,? Na2​SO3​,? H2​O,, →, ? MnO2​,? Na2​SO4​,? KOH,,,2,3,1,, →,2,3,2,,2.167,1,6,9.167
? I2​,? HNO3​,,, →, ? HIO3​,? NO2​,? H2​O,,,1,10,,, →,2,10,4,,5.400,1,5,11.400
? Pb,? HNO3​,,, →, ? Pb(NO3​)2​,? NO,? H2​O,,,3,8,,, →,3,2,4,,4.000,2,5,11.000
? S,? HNO3​,,, →, ? H2​SO4​,? NO2​,? H2​O,,,1,6,,, →,1,6,2,,3.200,1,5,9.200
? Na2​SnO2​,? HNO3​,? H2​O,, →, ? Na2​SnO3​,? NO,? H2​O,,,3,2,2,, →,3,2,3,,2.500,2,6,10.500
? Na2​S2​O3​,? NaIO4​,? H2​O,, →, ? Na2​SO4​,? H2​SO4​,? NaIO3​,,,1,2,1,, →,1,1,2,,1.333,1,6,8.333
? Na2​S2​O3​,? Br2​,,, →, ? Na2​S4​O6​,? NaBr,,,,2,1,,, →,1,2,,,1.500,1,4,6.500
? Na2​S2​O3​,? H2​O2​,,, →, ? Na2​SO4​,? H2​SO4​,? H2​O,,,1,4,,, →,1,1,3,,2.000,1,5,8.000
? Na2​S2​O3​,? I2​,,, →, ? Na2​S4​O6​,? NaI,,,,2,1,,, →,1,2,,,1.500,1,4,6.500
? Na2​S2​O3​,? Cl2​,? H2​O,, →, ? NaHSO4​,? HCl,,,,1,4,5,, →,2,8,,,4.000,1,5,10.000
? Na2​S2​O3​,? AgNO3​,,, →, ? Ag2​S2​O3​,? NaNO3​,,,,1,2,,, →,1,2,,,1.500,1,4,6.500
? Na2​S2​O3​,? Fe(NO3​)3​,,, →, ? Na2​S4​O6​,? Fe(NO3​)2​,? NaNO3​,,,2,2,,, →,1,2,2,,1.800,1,5,7.800
? Na2​S2​O3​,? KMnO4​,? H2​O*,, →, ? Na2​SO4​,? MnO2​,? KOH,,,1,2,1,, →,1,2,2,,1.500,1,6,8.500
? NaI,? Cl2​,? H2​O,, →, ? NaIO3​,? NaCl,? HCl,,,1,1,1,, →,1,1,1,,1.000,1,6,8.000
? Na2​SO3​,? KMnO4​,? H2​O,, →, ? Na2​SO4​,? MnO2​,? KOH,,,1,1,1,, →,1,1,1,,1.000,1,6,8.000
? P4​,? NaNO3​,? H2​O,, →, ? H3​PO4​,? NO,? NaNO3​*,,,1,1,1,, →,1,1,1,,1.000,1,6,8.000
? Na2​S2​O3​,? Cl2​,? H2​O,, →, ? NaHSO4​,? HCl,,,,1,1,1,, →,1,1,,,1.000,1,5,7.000
? Al,? NaNO3​,? NaOH,? H2​O, →, ? NaAl(OH)4​,? NH3​,,,,1,1,1,1, →,1,1,,,1.000,1,6,8.000
? Na2​S,? HNO3​,,, →, ? NaNO3​,? S,? NO,? H2​O,,3,8,,, →,6,3,2,4,4.333,2,6,12.333
? Na2​SO3​,? HNO3​,,, →, ? Na2​SO4​,? NO2​,? H2​O,,,1,2,,, →,1,2,1,,1.400,1,5,7.400
? Fe(NO3​)2​,? HNO3​,,, →, ? Fe(NO3​)3​,? NO,? H2​O,,,3,4,,, →,3,1,2,,2.600,1,5,8.600
? Cu,? HNO3​,,, →, ? Cu(NO3​)2​,? NO2​,? H2​O,,,1,4,,, →,1,2,2,,2.000,1,5,8.000
? Zn,? HNO3​,,, →, ? Zn(NO3​)2​,? NH4​NO3​,? H2​O,,,4,10,,, →,4,1,3,,4.400,1,5,10.400
? CH4​,? O2​,,, →, ? CO2​,? H2​O,,,,1,2,,, →,1,2,,,1.500,1,4,6.500
? C2​H6​,? O2​,,, →, ? CO2​,? H2​O,,,,2,7,,, →,4,6,,,4.750,2,4,10.750
? C3​H8​,? O2​,,, →, ? CO2​,? H2​O,,,,1,5,,, →,3,4,,,3.250,1,4,8.250
? C4​H10​,? 3O2​,,, →, ? CO2​,? 0H2​O,,,,2,1,,, →,8,1,,,3.000,1,4,8.000
? C5​H12​,? O2​,,, →, ? CO2​,? H2​O,,,,1,8,,, →,5,6,,,5.000,1,4,10.000
? C8​H18​,? 5O2​,,, →, ? 6CO2​,? 8H2​O,,,,2,2,,, →,1,1,,,1.500,1,4,6.500
? C2​H4​,? O2​,,, →, ? CO2​,? H2​O,,,,1,3,,, →,2,2,,,2.000,1,4,7.000
? C2​H2​,? O2​,,, →, ? CO2​,? H2​O,,,,2,5,,, →,4,2,,,3.250,2,4,9.250
? CH4​,? O2​,,, →, ? CO,? H2​O,,,,2,3,,, →,2,4,,,2.750,2,4,8.750
? C2​H6​,? O2​,,, →, ? CO,? H2​O,,,,2,5,,, →,4,6,,,4.250,2,4,10.250
? C3​H8​,? O2​,,, →, ? CO,? H2​O,,,,2,7,,, →,6,8,,,5.750,2,4,11.750
? C4​H10​,? O2​,,, →, ? CO,? H2​O,,,,2,9,,, →,8,10,,,7.250,2,4,13.250
? C5​H12​,? O2​,,, →, ? CO,? H2​O,,,,2,11,,, →,10,12,,,8.750,2,4,14.750
? C8​H18​,? O2​,,, →, ? CO,? H2​O,,,,2,17,,, →,16,18,,,13.250,2,4,19.250
? C2​H4​,? O2​,,, →, ? CO,? H2​O,,,,1,2,,, →,2,2,,,1.750,1,4,6.750
? C2​H2​,? O2​,,, →, ? CO,? H2​O,,,,2,3,,, →,4,2,,,2.750,2,4,8.750
? CH3​OH,? O2​,,, →, ? CO2​,? H2​O,,,,2,3,,, →,2,4,,,2.750,2,4,8.750
? C2​H5​OH,? O2​,,, →, ? CO2​,? H2​O,,,,1,3,,, →,2,3,,,2.250,1,4,7.250
? HCOOH,? O2​,,, →, ? CO2​,? H2​O,,,,2,1,,, →,2,2,,,1.750,1,4,6.750
? CH3​COOH,? O2​,,, →, ? CO2​,? H2​O,,,,1,2,,, →,2,2,,,1.750,1,4,6.750
? CH2​O,? O2​,,, →, ? CO2​,? H2​O,,,,1,1,,, →,1,1,,,1.000,1,4,6.000
? CH3​CHO,? O2​,,, →, ? CO2​,? H2​O,,,,2,5,,, →,4,4,,,3.750,2,4,9.750
? C3​H6​O,? O2​,,, →, ? CO2​,? H2​O,,,,1,4,,, →,3,3,,,2.750,1,4,7.750
? C4​H8​O,? O2​,,, →, ? CO2​,? H2​O,,,,2,11,,, →,8,8,,,7.250,2,4,13.250
? C3​H7​OH,? O2​,,, →, ? CO2​,? H2​O,,,,2,9,,, →,6,8,,,6.250,2,4,12.250
? C4​H9​OH,? O2​,,, →, ? CO2​,? H2​O,,,,1,6,,, →,4,5,,,4.000,1,4,9.000
? C2​H5​COOH,? O2​,,, →, ? CO2​,? H2​O,,,,2,7,,, →,6,6,,,5.250,2,4,11.250
? C3​H7​COOH,? O2​,,, →, ? CO2​,? H2​O,,,,1,5,,, →,4,4,,,3.500,1,4,8.500
